日期,茅台收盘,平安收盘,茅台收益率,平安收益率
2021-03-04,10603.87,86.3,-0.048256431797456645,-0.005187319884726205
2021-03-05,10740.09,84.5,0.01284625330186051,-0.02085747392815751
2021-03-08,10237.06,84.95,-0.04683666524209762,0.005325443786982298
2021-03-09,10121.44,84.05,-0.011294258312445127,-0.010594467333725821
2021-03-10,10287.36,83.28,0.016392924326973146,-0.009161213563355086
2021-03-11,10679.24,86.36,0.038093349508522945,0.03698366954851107
2021-03-12,10568.7,85.55,-0.010350923848513438,-0.009379342288096337
2021-03-15,10314.69,85.11,-0.02403417638877059,-0.005143191116306234
2021-03-16,10490.81,85.4,0.01707467698980758,0.003407355187404537
2021-03-17,10590.6,82.54,0.00951213490664693,-0.033489461358313766
2021-03-18,10788.28,81.42,0.0186656091250732,-0.013569178580082442
2021-03-19,10488.3,79.64,-0.027806100694457436,-0.0218619503807419
2021-03-22,10387.75,79.82,-0.009586872991809825,0.0022601707684579697
2021-03-23,10417.95,80.05,0.002907270583138777,0.002881483337509483
2021-03-24,10382.78,79.01,-0.0033759040886163216,-0.01299188007495311
2021-03-25,10292.33,79.2,-0.008711539683976754,0.002404758891279446
2021-03-26,10503.37,80.01,0.020504589339828794,0.010227272727272751
2021-03-29,10609.4,79.13,0.010094855270260661,-0.010998625171853682
2021-03-30,10719.69,79.37,0.010395498331668307,0.0030329836977127655
2021-03-31,10483.27,78.7,-0.02205474225467341,-0.008441476628449074
2021-04-01,10661.65,79.2,0.017015683083617894,0.006353240152477735
2021-04-02,11252.07,78.88,0.055377919927966035,-0.0040404040404041774
2021-04-06,11071.32,79.03,-0.01606371094385295,0.0019016227180528311
2021-04-07,10744.56,78.45,-0.02951409588016607,-0.007338985195495362
2021-04-08,10789.79,78.63,0.00420957209974171,0.002294455066921497
2021-04-09,10538.55,77.16,-0.02328497588924361,-0.018695154521175095
2021-04-12,10482.72,77.16,-0.005297692756593642,0.0
2021-04-13,10543.57,76.56,0.005804791122914654,-0.007776049766718418
2021-04-14,10674.22,77.15,0.012391438573462255,0.00770637408568442
2021-04-15,10516.44,75.81,-0.01478140791551974,-0.017368762151652617
2021-04-16,10714.31,75.7,0.018815302516821175,-0.0014509959108296444
2021-04-19,10880.23,76.18,0.015485831565448471,0.0063408190224572
2021-04-20,10914.4,76.0,0.0031405586095147875,-0.0023628248884222103
2021-04-21,10840.03,75.62,-0.006813933885508994,-0.004999999999999893
2021-04-22,10716.93,74.37,-0.011356057132683284,-0.01653001851362068
2021-04-23,10985.45,74.26,0.02505568292412108,-0.0014790910313298156
2021-04-26,10829.08,72.89,-0.014234282619282834,-0.018448693778615688
2021-04-27,10912.59,73.27,0.007711643094334919,0.005213335162573607
2021-04-28,10649.09,72.81,-0.02414642170190573,-0.006278149310768311
2021-04-29,10570.5,73.82,-0.007379973312273691,0.013871720917456365
2021-04-30,10472.12,72.5,-0.009307033725935332,-0.017881332972094155
2021-05-06,10232.03,70.53,-0.022926589840452594,-0.027172413793103423
2021-05-07,9950.65,70.1,-0.02749991937083851,-0.006096696441230787
2021-05-10,9830.2,70.03,-0.012104736876485389,-0.0009985734664763601
2021-05-11,10232.03,70.28,0.040877093039816126,0.00356989861487933
2021-05-12,10357.65,69.93,0.012277133667512707,-0.004980079681274785
2021-05-13,10294.84,69.14,-0.006064116860484692,-0.011297011297011439
2021-05-14,10487.54,71.18,0.018718115094552346,0.029505351460804352
2021-05-17,10729.29,70.37,0.02305116357124737,-0.011379601011520135
2021-05-18,10736.07,70.9,0.0006319150661413531,0.0075316185874663155
2021-05-19,10684.27,69.97,-0.004824856767886132,-0.013117066290550206
2021-05-20,10733.91,70.72,0.00464608251195453,0.010718879519794111
2021-05-21,10649.59,70.05,-0.007855478572113994,-0.009473981900452566
2021-05-24,10796.27,69.94,0.013773300192777338,-0.0015703069236259193
2021-05-25,11415.37,72.46,0.057343878950785854,0.036030883614526665
2021-05-26,11543.5,72.38,0.011224340516338804,-0.001104057410985293
2021-05-27,11669.12,72.9,0.010882314722571174,0.007184305056645579
2021-05-28,11593.75,72.97,-0.00645892749410415,0.0009602194787379226
2021-05-31,11533.46,71.8,-0.005200215633423211,-0.016033986569823244
2021-06-01,11648.77,71.13,0.009997867075448363,-0.009331476323119814
2021-06-02,11553.55,70.87,-0.008174253590722547,-0.003655279066497874
2021-06-03,11554.66,70.68,9.60743667530739e-05,-0.002680965147453085
2021-06-04,11701.79,70.85,0.012733390683931978,0.002405206564798812
2021-06-07,11799.77,70.28,0.00837307796499509,-0.008045165843330926
2021-06-08,11397.79,70.41,-0.03406676570814515,0.0018497438816162948
2021-06-09,11440.5,70.3,0.003747217662371405,-0.0015622780854992468
2021-06-10,11636.36,70.01,0.017119881124076697,-0.0041251778093882585
2021-06-11,11336.53,69.4,-0.025766648677077675,-0.008713040994143717
2021-06-15,11407.84,67.07,0.0062902845932573115,-0.03357348703170049
2021-06-16,11231.97,67.0,-0.015416590695521704,-0.0010436857015058143
2021-06-17,11226.49,66.25,-0.0004878930410248117,-0.011194029850746245
2021-06-18,10895.01,65.1,-0.029526592906598537,-0.017358490566037776
2021-06-21,10848.27,64.16,-0.004290037365729749,-0.014439324116743424
2021-06-22,10814.76,64.73,-0.003088971789972028,0.00888403990024944
2021-06-23,10628.99,65.82,-0.017177450077486722,0.016839178124516962
2021-06-24,10779.99,65.96,0.014206429773666152,0.002127013065937433
2021-06-25,10997.27,66.68,0.020155862853305173,0.010915706488781263
2021-06-28,11052.6,65.6,0.005031248664441268,-0.016196760647870567
2021-06-29,10846.53,64.38,-0.01864448184137668,-0.018597560975609717
2021-06-30,10819.9,64.28,-0.0024551630798053115,-0.001553277415346277
2021-07-01,11062.6,64.76,0.022430891228199856,0.007467330429371533
2021-07-02,10600.32,62.3,-0.04178764485744768,-0.03798641136504022
2021-07-05,10504.85,61.91,-0.009006331884320429,-0.006260032102728741
2021-07-06,10599.81,62.9,0.00903963407378483,0.01599095461153288
2021-07-07,10555.09,62.37,-0.004218943547101284,-0.008426073131955536
2021-07-08,10459.62,60.78,-0.009044925244597546,-0.025493025493025456
2021-07-09,10394.85,60.09,-0.006192385574236958,-0.011352418558736366
2021-07-12,10339.03,59.4,-0.005369966858588593,-0.011482775836245684
2021-07-13,10449.07,59.7,0.01064316478431726,0.005050505050505194
2021-07-14,10344.05,57.91,-0.010050655225776084,-0.029983249581239657
2021-07-15,10524.89,59.98,0.017482514102310054,0.035745121740631935
2021-07-16,10313.4,59.7,-0.02009427176911116,-0.004668222740913497
2021-07-19,10409.37,59.35,0.009305369713188849,-0.005862646566164198
2021-07-20,10434.5,58.46,0.0024141710785570147,-0.014995787700084251
2021-07-21,10379.23,58.08,-0.005296851789736046,-0.006500171057133075
2021-07-22,10233.56,58.54,-0.014034759803954633,0.007920110192837448
2021-07-23,10032.51,57.64,-0.01964614464565595,-0.01537410317731458
2021-07-26,9550.69,54.5,-0.048025867903445874,-0.05447605829285218
2021-07-27,9092.33,52.67,-0.04799234400865282,-0.033577981651376154
2021-07-28,9373.76,53.11,0.03095246213016911,0.008353901651794171
2021-07-29,9277.74,53.25,-0.010243488205373352,0.002636038410845476
2021-07-30,8921.99,53.67,-0.038344467510406655,0.007887323943662095
2021-08-02,9303.92,54.01,0.04280771442245501,0.00633501024781058
2021-08-03,9275.28,54.24,-0.0030782723841132897,0.004258470653582647
2021-08-04,9148.15,53.6,-0.013706324768632427,-0.01179941002949858
2021-08-05,9022.53,54.2,-0.013731738110984049,0.011194029850746245
2021-08-06,8881.84,53.67,-0.015593187276739529,-0.009778597785977894
2021-08-09,8996.4,55.12,0.012898228295037839,0.027016955468604387
2021-08-10,9525.01,55.73,0.058757947623493845,0.011066763425253923
2021-08-11,9281.31,55.8,-0.02558527497608931,0.0012560559842096364
2021-08-12,8977.31,54.74,-0.032753997011197744,-0.018996415770609287
