日期,茅台收盘,平安收盘
2021-09-23,8700.94,48.22
2021-09-24,8997.41,48.08
2021-09-27,9806.4,49.0
2021-09-28,9640.88,49.26
2021-09-29,9630.53,49.19
2021-09-30,9680.78,48.36
2021-10-08,9729.02,52.1
2021-10-11,9867.3,52.74
2021-10-12,9886.75,52.26
2021-10-13,10182.76,51.75
2021-10-14,10087.79,51.41
2021-10-15,10117.79,50.88
2021-10-18,9530.04,49.86
2021-10-19,9591.24,51.45
2021-10-20,9736.05,51.37
2021-10-21,9751.13,54.28
2021-10-22,10037.54,54.29
2021-10-25,9897.0,53.21
2021-10-26,9836.8,52.17
2021-10-27,9625.51,51.65
2021-10-28,9658.12,51.3
2021-10-29,9661.08,49.57
2021-11-01,9545.11,50.12
2021-11-02,9553.35,50.01
2021-11-03,9354.17,50.05
2021-11-04,9551.14,49.7
2021-11-05,9630.23,49.93
2021-11-08,9631.03,50.4
2021-11-09,9479.84,49.69
2021-11-10,9298.84,49.13
2021-11-11,9377.28,51.15
2021-11-12,9398.29,50.61
2021-11-15,9334.77,50.6
2021-11-16,9570.23,50.36
2021-11-17,9504.91,50.05
2021-11-18,9489.84,49.51
2021-11-19,9672.79,49.96
2021-11-22,9802.73,49.71
2021-11-23,10014.58,49.62
2021-11-24,10238.53,49.75
2021-11-25,10314.05,49.4
2021-11-26,10238.58,48.72
2021-11-29,10459.62,48.66
2021-11-30,10187.13,48.22
2021-12-01,10198.28,48.87
2021-12-02,10203.36,48.88
2021-12-03,10393.7,48.99
2021-12-06,10370.68,49.15
2021-12-07,10313.25,50.39
2021-12-08,10751.06,50.34
2021-12-09,10969.89,51.31
2021-12-10,10987.23,51.22
2021-12-13,11128.92,51.15
2021-12-14,11288.71,50.85
2021-12-15,11213.34,50.7
2021-12-16,11132.89,51.2
2021-12-17,10789.75,50.54
2021-12-20,10831.26,50.28
2021-12-21,10726.94,50.84
2021-12-22,10776.18,50.18
2021-12-23,11137.97,50.22
2021-12-24,11510.26,49.82
2021-12-27,11197.36,49.98
2021-12-28,11229.32,50.87
2021-12-29,10741.01,50.81
2021-12-30,10911.85,50.41
2021-12-31,10786.23,50.41
2022-01-04,10792.41,51.0
2022-01-05,10655.59,52.07
2022-01-06,10445.65,51.3
2022-01-07,10243.56,52.94
2022-01-10,10364.15,53.08
2022-01-11,10236.27,52.86
2022-01-12,10369.18,52.5
2022-01-13,9918.9,52.3
2022-01-14,9866.7,51.1
2022-01-17,9839.61,50.94
2022-01-18,9993.67,51.23
2022-01-19,10092.81,51.45
2022-01-20,10381.84,53.4
2022-01-21,10459.57,53.55
2022-01-24,10284.76,53.13
2022-01-25,10248.58,51.2
2022-01-26,10308.88,51.83
2022-01-27,10359.13,50.79
2022-01-28,9967.19,49.97
2022-02-07,9871.52,51.98
2022-02-08,9726.0,53.0
2022-02-09,10012.31,53.04
2022-02-10,9896.85,54.18
2022-02-11,9781.12,55.59
2022-02-14,9875.09,53.9
2022-02-15,9985.38,53.28
2022-02-16,9995.08,53.84
2022-02-17,9967.14,53.65
2022-02-18,10067.69,54.5
2022-02-21,9916.89,54.16
2022-02-22,9569.58,53.07
2022-02-23,9665.76,52.89
2022-02-24,9349.7,51.46
2022-02-25,9525.31,51.4
2022-02-28,9481.8,50.76
2022-03-01,9823.89,51.39
2022-03-02,9755.55,50.76
2022-03-03,9530.04,50.92
2022-03-04,9432.05,50.1
2022-03-07,9062.73,48.88
2022-03-08,9294.88,47.47
2022-03-09,9425.42,46.92
2022-03-10,9502.05,46.91
2022-03-11,9374.32,47.14
2022-03-14,9027.56,45.81
2022-03-15,8540.15,42.65
2022-03-16,8901.69,44.29
2022-03-17,9128.81,45.5
2022-03-18,9066.7,47.93
2022-03-21,9049.16,47.04
2022-03-22,9002.43,47.8
2022-03-23,9289.8,47.9
2022-03-24,9132.73,48.25
2022-03-25,8977.31,47.63
2022-03-28,8830.58,47.85
2022-03-29,8861.74,47.21
2022-03-30,9178.8,48.7
2022-03-31,9123.03,48.45
2022-04-01,9429.59,48.96
2022-04-06,9354.17,49.54
2022-04-07,9354.17,48.48
2022-04-08,9449.64,49.24
2022-04-11,9128.05,47.62
2022-04-12,9439.59,48.47
2022-04-13,9374.27,47.82
2022-04-14,9575.26,48.19
2022-04-15,9560.13,48.3
2022-04-18,9483.91,47.0
2022-04-19,9481.29,46.44
2022-04-20,9514.96,45.91
2022-04-21,9429.44,46.22
2022-04-22,9394.37,46.46
2022-04-25,9067.75,44.85
2022-04-26,9190.76,43.59
2022-04-27,9504.51,43.91
2022-04-28,9705.9,43.66
2022-04-29,9672.64,44.56
2022-05-05,9715.95,45.02
2022-05-06,9494.86,44.06
2022-05-09,9288.85,44.35
2022-05-10,9360.15,44.47
2022-05-11,9369.24,44.73
2022-05-12,9342.46,44.0
2022-05-13,9420.7,43.96
2022-05-16,9318.99,43.36
2022-05-17,9369.24,43.82
2022-05-18,9334.07,43.63
2022-05-19,9308.94,43.29
2022-05-20,9530.09,44.31
2022-05-23,9434.56,43.89
2022-05-24,9329.04,43.14
2022-05-25,9306.48,43.23
2022-05-26,9242.62,43.15
2022-05-27,9304.72,43.53
2022-05-30,9421.55,44.15
2022-05-31,9550.29,44.2
2022-06-01,9470.99,44.17
2022-06-02,9459.69,44.0
2022-06-06,9469.74,44.26
2022-06-07,9619.98,44.15
2022-06-08,9859.66,44.59
2022-06-09,9796.35,44.62
2022-06-10,10035.53,44.94
2022-06-13,9811.42,44.14
2022-06-14,9886.8,45.22
2022-06-15,9907.4,47.65
2022-06-16,9916.94,46.5
2022-06-17,10288.78,47.03
2022-06-20,10243.66,45.36
2022-06-21,10262.35,46.13
2022-06-22,10213.41,45.4
2022-06-23,10319.43,46.25
2022-06-24,10580.27,46.76
2022-06-27,10588.01,46.8
2022-06-28,10715.89,46.9
2022-06-29,10685.74,46.79
2022-06-30,10870.02,46.69
2022-07-01,10789.88,46.31
2022-07-04,10734.35,46.46
2022-07-05,10809.77,46.61
2022-07-06,10653.96,45.85
2022-07-07,10593.66,45.6
2022-07-08,10638.88,45.82
2022-07-11,10461.0,45.38
2022-07-12,10384.68,45.51
2022-07-13,10437.34,45.08
2022-07-14,10407.74,43.6
2022-07-15,10390.15,42.71
2022-07-18,10401.01,43.45
2022-07-19,10358.0,43.4
2022-07-20,10393.17,43.4
2022-07-21,10337.39,42.74
2022-07-22,10377.59,43.05
2022-07-25,10365.78,42.92
2022-07-26,10393.72,43.2
2022-07-27,10239.91,42.79
2022-07-28,10131.38,42.72
2022-07-29,10133.59,42.12
2022-08-01,10092.69,41.84
2022-08-02,10040.83,41.17
2022-08-03,10066.06,40.83
2022-08-04,10221.87,41.08
2022-08-05,10261.82,41.54
2022-08-08,10199.36,41.18
2022-08-09,10191.67,40.96
2022-08-10,10020.83,40.4
2022-08-11,10176.1,41.46
2022-08-12,10282.12,41.61
2022-08-15,10241.37,41.14
2022-08-16,10231.07,40.99
2022-08-17,10231.87,41.29
2022-08-18,10118.82,40.81
2022-08-19,10116.35,40.97
2022-08-22,10111.18,41.15
2022-08-23,9990.73,40.72
2022-08-24,9911.29,41.61
2022-08-25,10066.06,43.1
2022-08-26,10131.38,43.12
2022-08-29,10035.0,43.07
2022-08-30,9990.68,42.89
2022-08-31,10262.02,43.84
2022-09-01,10045.4,43.65
2022-09-02,10015.81,43.7
2022-09-05,9814.82,43.8
2022-09-06,9865.06,43.9
2022-09-07,9729.44,43.6
2022-09-08,9714.32,43.84
2022-09-09,9864.01,44.69
2022-09-13,10035.91,45.06
2022-09-14,9985.66,44.65
2022-09-15,10040.93,45.09
2022-09-16,9935.41,43.93
2022-09-19,9998.92,43.93
2022-09-20,10030.88,43.24
2022-09-21,9880.14,43.15
2022-09-22,9743.51,42.48
2022-09-23,9811.95,43.02
2022-09-26,9955.51,42.49
2022-09-27,10081.13,42.44
2022-09-28,10056.01,41.89
2022-09-29,10042.69,41.32
2022-09-30,10003.25,41.58
2022-10-10,9568.6,41.43
2022-10-11,9538.4,41.2
2022-10-12,9437.96,41.92
2022-10-13,9136.42,41.36
2022-10-14,9325.45,41.94
2022-10-17,9229.43,42.1
2022-10-18,9165.76,41.75
2022-10-19,8875.18,41.27
2022-10-20,8852.57,40.01
2022-10-21,8754.58,39.65
2022-10-24,8137.94,37.7
2022-10-25,8029.76,37.72
2022-10-26,7951.02,37.67
2022-10-27,7634.06,37.66
2022-10-28,7428.04,36.73
2022-10-31,7377.79,36.15
2022-11-01,7940.62,37.46
2022-11-02,7990.62,37.4
2022-11-03,7827.51,36.93
2022-11-04,8214.77,38.31
2022-11-07,8167.24,38.79
2022-11-08,8055.54,38.69
2022-11-09,7930.02,38.37
2022-11-10,8005.89,38.46
2022-11-11,8272.96,40.33
2022-11-14,8297.33,41.6
2022-11-15,8573.69,42.49
2022-11-16,8559.87,42.3
2022-11-17,8468.17,42.56
2022-11-18,8468.82,42.16
2022-11-21,8231.91,41.21
2022-11-22,8332.25,41.97
2022-11-23,8377.73,41.77
2022-11-24,8231.96,41.8
2022-11-25,8242.11,42.75
