日期,茅台收盘,平安收盘,茅台收益率,平安收益率,茅台5日均线,茅台20日均线
2021-12-17,10789.75,50.54,-0.0308221854343301,-0.012890625,-0.0034838582205135226,0.0056232545050414655
2021-12-20,10831.26,50.28,0.0038471697676034,-0.0051444400474871,-0.005293600274048323,0.0051439350184009905
2021-12-21,10726.94,50.84,-0.0096313817598321,0.0111376292760541,-0.010091493997691384,0.0035817995983773907
2021-12-22,10776.18,50.18,0.0045903118689951,-0.0129819040125885,-0.007838115188267762,0.0026931954104683657
2021-12-23,11137.97,50.22,0.0335731214586243,0.0007971303308089,0.00031140718021211713,0.004003048540008306
2021-12-24,11510.26,49.82,0.0334253010198448,-0.0079649542015133,0.013160904471047096,0.006040173752624731
2021-12-27,11197.36,49.98,-0.0271844424018223,0.0032115616218384,0.0069545820371619575,0.0036015050686546354
2021-12-28,11229.32,50.87,0.0028542442147077,0.0178071228491396,0.009451707232069917,0.00504679806148345
2021-12-29,10741.01,50.81,-0.0434852689210032,-0.0011794770984862,-0.0001634089259297422,0.002817808701461441
2021-12-30,10911.85,50.41,0.0159053943716651,-0.0078724660499902,-0.0036969543433215827,0.003588172259398001
2021-12-31,10786.23,50.41,-0.0115122550254999,0.0,-0.012684465552390523,0.002079827545318596
2022-01-04,10792.41,51.0,0.0005729527369617,0.011704026978774,-0.007132986524633721,0.0022192153420712356
2022-01-05,10655.59,52.07,-0.0126774279331492,0.0209803921568627,-0.010239320954205102,0.001862230321234841
2022-01-06,10445.65,51.3,-0.0197023346431309,-0.0147877856731324,-0.005482734098630642,-0.0012454471943798742
2022-01-07,10243.56,52.94,-0.0193468094374212,0.0319688109161793,-0.012533174860447902,-0.0032305012684445793
2022-01-10,10364.15,53.08,0.0117722744826993,0.0026445032111825,-0.007876268958808063,-0.002720922065166249
2022-01-11,10236.27,52.86,-0.0123386867229825,-0.0041446872645063,-0.010458596850796902,-0.0039826504030792435
2022-01-12,10369.18,52.5,0.0129842217917268,-0.006810442678774,-0.005326266905821703,-0.004051343656412064
2022-01-13,9918.9,52.3,-0.0434248416943288,-0.0038095238095238,-0.010070768316061282,-0.0058887566322223545
2022-01-14,9866.7,51.1,-0.0052626803375372,-0.0229445506692159,-0.007253942496084484,-0.005793166129910459
2022-01-17,9839.61,50.94,-0.0027455988324364,-0.0031311154598826,-0.010157517159111623,-0.004389336799815775
2022-01-18,9993.67,51.23,0.0156571246218091,0.0056929721240674,-0.004558354890153304,-0.0037988390571054896
2022-01-19,10092.81,51.45,0.0099202795369468,0.0042943587741559,-0.0051711433411093044,-0.002821255992266544
2022-01-20,10381.84,53.4,0.0286372179799283,0.0379008746355684,0.009241268593742117,-0.0016189106867198842
2022-01-21,10459.57,53.55,0.0074871121111479,0.002808988764045,0.011791227083479136,-0.0029232111540937046
2022-01-24,10284.76,53.13,-0.0167129241450652,-0.0078431372549018,0.008997762020953376,-0.005430122412339204
2022-01-25,10248.58,51.2,-0.0035178263761138,-0.0363259928477319,0.005162771821368797,-0.0042467916110537785
2022-01-26,10308.88,51.83,0.0058837419427861,0.0123046874999999,0.004355464302536657,-0.004095316724649859
2022-01-27,10359.13,50.79,0.0048744383482977,-0.0200655990738953,-0.0003970916237894636,-0.0016773313611848147
2022-01-28,9967.19,49.97,-0.0378352236143381,-0.016144910415436,-0.009461558768886663,-0.004364362260484975
2022-02-07,9871.52,51.98,-0.009598492654399,0.0402241344806884,-0.008038672470753424,-0.00426867414192993
2022-02-08,9726.0,53.0,-0.0147413974747556,0.0196229318968834,-0.010283386690481785,-0.005034391652515795
2022-02-09,10012.31,53.04,0.029437589965042,0.0007547169811321,-0.005572617086030605,-0.0029286407576062344
2022-02-10,9896.85,54.18,-0.0115318043488464,0.0214932126696831,-0.008853865625459423,-0.00252011424289201
2022-02-11,9781.12,55.59,-0.011693619687072,0.0260243632336656,-0.0036255448400062036,-0.00213745475537455
2022-02-14,9875.09,53.9,0.0096072842373877,-0.0304011512862026,0.00021561053835113703,-0.00224570426764013
2022-02-15,9985.38,53.28,0.0111685058060229,-0.0115027829313543,0.005397591194506836,-0.0010703446411898597
2022-02-16,9995.08,53.84,0.0009714202163564,0.0105105105105105,-0.00029564275523028303,-0.0016709847199583797
2022-02-17,9967.14,53.65,-0.0027953753246597,-0.0035289747399703,0.001451643049607057,0.0003604885985250753
2022-02-18,10067.69,54.5,0.0100881496597822,0.015843429636533,0.0058079969189778965,0.0011280300983910452
2022-02-21,9916.89,54.16,-0.0149786097903293,-0.0062385321100918,0.0008908181134344966,0.0005163795504964004
2022-02-22,9569.58,53.07,-0.0350220684105601,-0.0201255539143278,-0.008347296729882103,-0.0020175801011220597
2022-02-23,9665.76,52.89,0.0100505978318798,-0.0033917467495759,-0.006531461206777422,-0.00201106418637541
2022-02-24,9349.7,51.46,-0.032698929002996,-0.0270372471166572,-0.012512171942444684,-0.005077871535521625
2022-02-25,9525.31,51.4,0.0187824208263365,-0.0011659541391372,-0.010773317709133822,-0.004513106099762194
2022-02-28,9481.8,50.76,-0.0045678303383301,-0.0124513618677043,-0.008691161818733983,-0.003905851409425439
2022-03-01,9823.89,51.39,0.0360785926722775,0.0124113475177305,0.005528970397833536,-0.001926030457005875
2022-03-02,9755.55,50.76,-0.0069565111172865,-0.0122591943957969,0.002127548608000276,-0.002568043110009505
2022-03-03,9530.04,50.92,-0.0231160723895627,0.0031520882584712,0.004044119930686937,-0.003967568646902525
2022-03-04,9432.05,50.1,-0.0102822233694718,-0.0161036920659858,-0.0017688089084747234,-0.00258991863465921
2022-03-07,9062.73,48.88,-0.039155856892192,-0.0243512974051895,-0.008686414219247103,-0.00406778684654886
2022-03-08,9294.88,47.47,0.025615901610221,-0.0288461538461539,-0.010778952431658403,-0.00204992189230003
2022-03-09,9425.42,46.92,0.0140442910505569,-0.0115862650094795,-0.0065787919980897225,-0.002819586838024285
2022-03-10,9502.05,46.91,0.0081301416806889,-0.0002131287297528,-0.00032954918403940264,-0.0018364895365475201
2022-03-11,9374.32,47.14,-0.0134423624375792,0.0049030057557024,-0.0009615769976608825,-0.0019239266740728803
2022-03-14,9027.56,45.81,-0.0369904163715342,-0.0282138311412812,-0.0005284888935293234,-0.004253811704518975
2022-03-15,8540.15,42.65,-0.0539913332063148,-0.0689805719275268,-0.016449935856836483,-0.00751180365513586
2022-03-16,8901.69,44.29,0.0423341510395016,0.0384525205158265,-0.01079196385904754,-0.0054436671139786
2022-03-17,9128.81,45.5,0.0255142562816721,0.0273199367803116,-0.007315140938850902,-0.00402818553366201
2022-03-18,9066.7,47.93,-0.0068037345502862,0.0534065934065934,-0.005987415361392302,-0.00487277974416543
2022-03-21,9049.16,47.04,-0.001934551711207,-0.018568746088045,0.001023757570673138,-0.004220576840209315
2022-03-22,9002.43,47.8,-0.0051640152235123,0.0161564625850338,0.010789221167233638,-0.0027276741808569247
2022-03-23,9289.8,47.9,0.0319213812270686,0.0020920502092049,0.008706667204747038,-0.0016341350110974846
2022-03-24,9132.73,48.25,-0.0169077913410407,0.0073068893528183,0.00022225768020447818,-0.0008445781279997199
2022-03-25,8977.31,47.63,-0.0170179124971394,-0.0128497409326424,-0.0018205779091661615,-0.002634594794173515
2022-03-28,8830.58,47.85,-0.0163445397340628,0.0046189376443417,-0.004702575513737321,-0.0032234302639601495
2022-03-29,8861.74,47.21,0.0035286470424367,-0.0133751306165099,-0.0029640430605475214,-0.004850927545452189
2022-03-30,9178.8,48.7,0.0357785265647603,0.031561109934336,-0.002192613993009182,-0.002714175661349849
2022-03-31,9123.03,48.45,-0.0060759576415215,-0.0051334702258727,-2.6247253105341795e-05,-0.0018621699239477895
2022-04-01,9429.59,48.96,0.0336028709759805,0.0105263157894737,0.010097909441518638,0.0003320847933248255
2022-04-06,9354.17,49.54,-0.0079982268582197,0.0118464052287581,0.011767172016687259,0.0018899662950234402
2022-04-07,9354.17,48.48,0.0,-0.0213968510294711,0.011061442608199917,0.0006091712145123903
2022-04-08,9449.64,49.24,0.0102061433563853,0.0156765676567658,0.005946965966524918,0.0004172638298038104
2022-04-11,9128.05,47.62,-0.034031984287232,-0.0329000812347686,0.00035576063738281677,-0.0016908424685922348
2022-04-12,9439.59,48.47,0.0341299620400852,0.0178496430071399,0.000461178850203757,0.0006877737552909852
2022-04-13,9374.27,47.82,-0.0069197920672401,-0.0134103569218072,0.0006768658083996772,0.00219130497050569
2022-04-14,9575.26,48.19,0.0214406028416078,0.0077373483897951,0.004964986376721237,0.00596290177290182
2022-04-15,9560.13,48.3,-0.0015801137514804,0.0022826312512969,0.0026077349551480973,0.00376718853335272
2022-04-18,9483.91,47.0,-0.0079726949319726,-0.0269151138716355,0.007819592826199978,0.0020928409726704853
2022-04-19,9481.29,46.44,-0.0002762573664236,-0.0119148936170213,0.0009383489448982179,0.002419214831863615
2022-04-20,9514.96,45.91,0.003551204530185,-0.0114125753660637,0.003032548264383238,0.0026935026439332153
2022-04-21,9429.44,46.22,-0.0089879516046308,0.0067523415377914,-0.003053162624864482,0.0025023058248772904
2022-04-22,9394.37,46.46,-0.0037192028370719,0.0051925573344873,-0.003480980441982782,0.0007202766216702653
2022-04-25,9067.75,44.85,-0.0347676321030575,-0.0346534653465346,-0.008839967876199761,-0.00017271541643057442
2022-04-26,9190.76,43.59,0.0135656585150671,-0.0280936454849497,-0.006071584699901621,0.0013564631341797505
2022-04-27,9504.51,43.91,0.0341375468405225,0.0073411332874511,4.568376216587816e-05,0.0038805674629090155
2022-04-28,9705.9,43.66,0.0211888882225383,-0.0056934639034388,0.006081051727599698,0.004763579521914095
